epoch,train_loss,train_acc,train_f1,val_loss,val_acc,val_f1,lr_backbone,lr_head,timestamp
1,2.0901282534730194,0.4524671988337363,0.40224643268384436,2.0444492944335937,0.46288,0.4164915047851427,1.5e-05,0.00025,2026-02-18T13:47:40.019459
2,1.9886488697722462,0.47488132911392406,0.4293459352724525,1.9476936016845703,0.48478,0.4459047627096188,3e-05,0.0005,2026-02-18T14:07:20.273758
3,1.9117176568859113,0.4910819051344048,0.4488821547195429,1.8868881388854981,0.49664,0.4547773429108511,2.994876739510005e-05,0.0004991461232516675,2026-02-18T14:26:57.624498
4,1.8491425437500664,0.5042557068695775,0.4648148672242164,1.847276273651123,0.50468,0.46450167504007833,2.9795419551040836e-05,0.0004965903258506806,2026-02-18T14:46:31.562273
5,1.8038374119947007,0.5133604750391125,0.4760607416580616,1.8090614603042603,0.51266,0.4759140617627422,2.9541003989089956e-05,0.0004923500664848326,2026-02-18T15:06:06.168998
6,1.7695328805655508,0.5206407338927607,0.4850651535355524,1.8060804414367675,0.51446,0.47872946640973185,2.9187258625509518e-05,0.00048645431042515866,2026-02-18T15:25:42.048250
7,1.7403646015312166,0.5271165196984782,0.49270030859354547,1.7914526651000977,0.51668,0.48391593050275383,2.873659989982586e-05,0.00047894333166376434,2026-02-18T15:45:14.995800
8,1.7134382851329641,0.5328367230834874,0.49959387268193334,1.7649770769119262,0.52172,0.4858834254072346,2.8192106268097336e-05,0.00046986843780162223,2026-02-18T16:04:50.083866
9,1.6895713514741497,0.5377235635044801,0.5056657008823681,1.7496377056503296,0.52506,0.48745286851874475,2.7557497173937928e-05,0.00045929161956563216,2026-02-18T16:24:37.004578
10,1.6691784822844185,0.5424615097425686,0.5114241971406822,1.7554222081756592,0.52392,0.486947790289082,2.6837107640945904e-05,0.00044728512734909845,2026-02-18T16:45:03.620066
11,1.6475840257286025,0.5467994417579292,0.5164525031714488,1.7368943604660034,0.52834,0.4951653898223594,2.6035858660096975e-05,0.00043393097766828293,2026-02-18T17:05:15.985671
12,1.6291668736236125,0.5511707082918503,0.5218705351361664,1.7373629876708985,0.52926,0.49791668264845373,2.5159223574386117e-05,0.0004193203929064353,2026-02-18T17:24:51.330338
13,1.6114255799378767,0.5548663952496089,0.5262085506547732,1.737274960784912,0.52946,0.5021167822412639,2.4213190690345018e-05,0.000403553178172417,2026-02-18T17:44:25.155661
14,1.5928432063516555,0.5587576447162566,0.5309068226238292,1.7413149205017089,0.52878,0.49492036349759233,2.320422237183641e-05,0.00038673703953060677,2026-02-18T18:03:59.490890
15,1.5765268635510754,0.5625266676148485,0.535461802664532,1.7344563103485107,0.53262,0.49930921332186173,2.2139210895556104e-05,0.0003689868482592684,2026-02-18T18:23:32.426460
16,1.5588617736491959,0.5666512587114209,0.5403222736873882,1.7250415403366088,0.53242,0.49664881508473396,2.1025431369794546e-05,0.0003504238561632424,2026-02-18T18:43:03.757395
17,1.5414953797339308,0.5699180415303655,0.5442099602934718,1.719375710258484,0.53516,0.5035036133822625,1.9870492038070255e-05,0.00033117486730117093,2026-02-18T19:02:35.481355
18,1.5250978799450197,0.5736070615844119,0.5486134081838527,1.7204997852325439,0.53736,0.5085221415482142,1.8682282307111988e-05,0.0003113713717851998,2026-02-18T19:22:09.374626
19,1.5089144352540032,0.5773960851941402,0.5529634440607459,1.7132196455383302,0.53658,0.5120036109846864,1.746891885421101e-05,0.0002911486475701835,2026-02-18T19:41:42.548853
